Name	Start	Duration	Time Format	Type	Description
know	0:24.863	0:00.000	decimal	Cue	
hello	0:21.830	0:00.000	decimal	Cue	
don't	0:23.025	0:00.000	decimal	Cue	
you	0:24.214	0:00.000	decimal	Cue	
me	0:25.525	0:00.000	decimal	Cue	
i'm	0:26.650	0:00.000	decimal	Cue	
the	0:27.151	0:00.000	decimal	Cue	
dirt	0:27.402	0:00.000	decimal	Cue	
beneath	0:27.800	0:00.000	decimal	Cue	
your	0:28.505	0:00.000	decimal	Cue	
feet	0:29.000	0:00.000	decimal	Cue	
the	0:31.623	0:00.000	decimal	Cue	
most	0:32.086	0:00.000	decimal	Cue	
important	0:33.037	0:00.000	decimal	Cue	
fool	0:34.612	0:00.000	decimal	Cue	
you	0:35.287	0:00.000	decimal	Cue	
forgot	0:35.955	0:00.000	decimal	Cue	
to	0:37.276	0:00.000	decimal	Cue	
see	0:37.681	0:00.000	decimal	Cue	
i've	0:39.725	0:00.000	decimal	Cue	
seen	0:40.271	0:00.000	decimal	Cue	
how	0:41.190	0:00.000	decimal	Cue	
you	0:42.281	0:00.000	decimal	Cue	
give	0:43.097	0:00.000	decimal	Cue	
it	0:43.643	0:00.000	decimal	Cue	
now	0:44.736	0:00.000	decimal	Cue	
i	0:45.224	0:00.000	decimal	Cue	
want	0:45.500	0:00.000	decimal	Cue	
you	0:45.886	0:00.000	decimal	Cue	
to	0:46.175	0:00.000	decimal	Cue	
recieve	0:46.589	0:00.000	decimal	Cue	
i'm	0:49.788	0:00.000	decimal	Cue	
sure	0:50.380	0:00.000	decimal	Cue	
for	0:51.254	0:00.000	decimal	Cue	
you	0:51.768	0:00.000	decimal	Cue	
would	0:52.340	0:00.000	decimal	Cue	
do	0:52.777	0:00.000	decimal	Cue	
the	0:53.323	0:00.000	decimal	Cue	
same	0:53.625	0:00.000	decimal	Cue	
for	0:55.071	0:00.000	decimal	Cue	
me	0:55.547	0:00.000	decimal	Cue	
i	0:56.793	0:00.000	decimal	Cue	
know	0:57.288	0:00.000	decimal	Cue	
i'm	0:57.808	0:00.000	decimal	Cue	
headed	0:58.625	0:00.000	decimal	Cue	
for	0:59.345	0:00.000	decimal	Cue	
the	0:59.717	0:00.000	decimal	Cue	
bottom	1:00.000	0:00.000	decimal	Cue	
i	1:01.755	0:00.000	decimal	Cue	
know	1:02.340	0:00.000	decimal	Cue	
i'm	1:02.757	0:00.000	decimal	Cue	
headed	1:03.714	0:00.000	decimal	Cue	
for	1:04.382	0:00.000	decimal	Cue	
the	1:04.793	0:00.000	decimal	Cue	
bottom	1:05.063	0:00.000	decimal	Cue	
i	1:06.831	0:00.000	decimal	Cue	
know	1:07.416	0:00.000	decimal	Cue	
i'm	1:07.943	0:00.000	decimal	Cue	
headed	1:08.765	0:00.000	decimal	Cue	
for	1:09.440	0:00.000	decimal	Cue	
the	1:09.806	0:00.000	decimal	Cue	
bottom	1:10.057	0:00.000	decimal	Cue	
but	1:12.486	0:00.000	decimal	Cue	
i'm	1:12.935	0:00.000	decimal	Cue	
ridding	1:13.198	0:00.000	decimal	Cue	
you	1:13.648	0:00.000	decimal	Cue	
all	1:14.375	0:00.000	decimal	Cue	
the	1:15.094	0:00.000	decimal	Cue	
way	1:15.416	0:00.000	decimal	Cue	
yeah	1:17.288	0:00.000	decimal	Cue	
i'm	1:17.892	0:00.000	decimal	Cue	
ridding	1:18.162	0:00.000	decimal	Cue	
you	1:18.715	0:00.000	decimal	Cue	
all	1:19.210	0:00.000	decimal	Cue	
the	1:19.949	0:00.000	decimal	Cue	
way	1:20.457	0:00.000	decimal	Cue	
i'm	1:22.605	0:00.000	decimal	Cue	
ridding	1:23.062	0:00.000	decimal	Cue	
